@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute outputs-1 {0,1,2,3}

@data
42,'2025/11/30 17:25:40:062',1,0.17026,-0.034945,-0.100675,0.859964,-2.225728,0.114646,0.542108,-0.775208,-2.083863,1
43,'2025/11/30 17:25:40:080',1,0.234579,0.081669,-0.262857,2.560123,-4.416645,0.41494,0.573064,-0.92628,-2.02378,1
44,'2025/11/30 17:25:40:096',1,0.234579,0.081669,-0.262857,2.560123,-4.416645,0.41494,0.573064,-0.92628,-2.02378,1
45,'2025/11/30 17:25:40:115',1,-0.133944,0.067903,-0.488597,4.513628,-6.087506,-0.181451,0.626773,-1.187159,-1.890099,1
46,'2025/11/30 17:25:40:130',1,-0.133944,0.067903,-0.488597,4.513628,-6.087506,-0.181451,0.626773,-1.187159,-1.890099,1
47,'2025/11/30 17:25:40:146',1,-0.264318,0.105464,-0.551954,6.234507,-7.241789,-1.200552,0.683067,-1.504487,-1.698039,1
48,'2025/11/30 17:25:40:162',1,-0.264318,0.105464,-0.551954,6.234507,-7.241789,-1.200552,0.683067,-1.504487,-1.698039,1
49,'2025/11/30 17:25:40:179',1,-0.369296,0.102341,-0.498099,7.658596,-7.734685,-2.29253,0.700111,-1.981212,-1.368674,1
50,'2025/11/30 17:25:40:198',1,-0.369296,0.102341,-0.498099,7.658596,-7.734685,-2.29253,0.700111,-1.981212,-1.368674,1
51,'2025/11/30 17:25:40:213',1,-0.70882,-0.145898,0.389078,5.769434,-8.04383,-4.364706,0.642278,-2.472142,-1.023854,1
52,'2025/11/30 17:25:40:229',1,-0.70882,-0.145898,0.389078,5.769434,-8.04383,-4.364706,0.642278,-2.472142,-1.023854,1
53,'2025/11/30 17:25:40:246',1,-0.524504,0.04754,0.442138,2.873596,-5.997482,-4.927804,0.597712,-2.816146,-0.797058,1
54,'2025/11/30 17:25:40:264',1,-0.524504,0.04754,0.442138,2.873596,-5.997482,-4.927804,0.597712,-2.816146,-0.797058,1
55,'2025/11/30 17:25:40:279',1,-0.687479,0.125043,0.53501,0.279035,-4.681544,-6.126433,0.573947,-3.126559,-0.560232,1
56,'2025/11/30 17:25:40:296',1,-0.687479,0.125043,0.53501,0.279035,-4.681544,-6.126433,0.573947,-3.126559,-0.560232,1
57,'2025/11/30 17:25:40:313',1,-0.563198,0.453887,0.442341,-1.880656,-4.242867,-7.246836,0.571462,2.844843,-0.270019,1
58,'2025/11/30 17:25:40:329',1,-0.563198,0.453887,0.442341,-1.880656,-4.242867,-7.246836,0.571462,2.844843,-0.270019,1
59,'2025/11/30 17:25:40:346',1,0.072028,0.730719,0.397515,-3.243913,-3.618363,-5.007702,0.557024,2.553825,0.012799,1
60,'2025/11/30 17:25:40:364',1,0.072028,0.730719,0.397515,-3.243913,-3.618363,-5.007702,0.557024,2.553825,0.012799,1
61,'2025/11/30 17:25:40:380',1,0.336532,0.949688,0.421049,-5.177279,-3.097868,-2.571698,0.581925,2.347646,0.209265,1
62,'2025/11/30 17:25:40:396',1,0.336532,0.949688,0.421049,-5.177279,-3.097868,-2.571698,0.581925,2.347646,0.209265,1
63,'2025/11/30 17:25:40:414',1,0.234141,1.099033,0.245962,-6.931736,-1.871702,-1.120324,0.665361,2.113069,0.465656,1
64,'2025/11/30 17:25:40:429',1,0.234141,1.099033,0.245962,-6.931736,-1.871702,-1.120324,0.665361,2.113069,0.465656,1
65,'2025/11/30 17:25:40:449',1,0.448479,1.265326,0.087714,-7.399252,-1.125516,0.401923,0.74253,1.895097,0.732094,1
66,'2025/11/30 17:25:40:462',1,0.448479,1.265326,0.087714,-7.399252,-1.125516,0.401923,0.74253,1.895097,0.732094,1
67,'2025/11/30 17:25:40:480',1,0.875747,1.446575,0.165729,-8.607946,-0.2706,3.613929,0.860065,1.60277,1.106619,1
68,'2025/11/30 17:25:40:497',1,0.875747,1.446575,0.165729,-8.607946,-0.2706,3.613929,0.860065,1.60277,1.106619,1
69,'2025/11/30 17:25:40:513',1,0.99535,1.923962,0.06098,-10.4651,1.396541,6.796904,0.975992,1.139876,1.705148,1
70,'2025/11/30 17:25:40:531',1,0.99535,1.923962,0.06098,-10.4651,1.396541,6.796904,0.975992,1.139876,1.705148,1
71,'2025/11/30 17:25:40:547',1,1.103918,2.518464,-0.01749,-11.842666,1.880316,9.658086,0.91167,0.510748,2.552235,1
72,'2025/11/30 17:25:40:564',1,1.103918,2.518464,-0.01749,-11.842666,1.880316,9.658086,0.91167,0.510748,2.552235,1
73,'2025/11/30 17:25:40:579',1,1.532088,2.821101,-1.131245,-7.705455,-0.309936,13.527372,0.713589,0.086129,-3.123866,1
74,'2025/11/30 17:25:40:597',1,1.532088,2.821101,-1.131245,-7.705455,-0.309936,13.527372,0.713589,0.086129,-3.123866,1
75,'2025/11/30 17:25:40:613',1,0.514277,3.929778,-1.635846,-3.140654,4.585735,18.790333,0.489291,-0.237534,-2.44727,1
76,'2025/11/30 17:25:40:630',1,0.514277,3.929778,-1.635846,-3.140654,4.585735,18.790333,0.489291,-0.237534,-2.44727,1
77,'2025/11/30 17:25:40:647',1,-1.842077,4.012791,-1.146478,-4.492755,7.367811,14.176006,0.192785,-0.18851,-1.83907,1
78,'2025/11/30 17:25:40:662',1,-1.842077,4.012791,-1.146478,-4.492755,7.367811,14.176006,0.192785,-0.18851,-1.83907,1
79,'2025/11/30 17:25:40:679',1,-2.922982,0.644404,-1.334584,1.76352,-7.523394,2.790565,0.116915,-0.209184,-1.597734,1
80,'2025/11/30 17:25:40:696',1,-2.922982,0.644404,-1.334584,1.76352,-7.523394,2.790565,0.116915,-0.209184,-1.597734,1
81,'2025/11/30 17:25:40:714',1,-0.956736,0.005009,-0.857251,1.143413,-1.984825,1.988163,0.160234,-0.454582,-1.531909,1
82,'2025/11/30 17:25:40:731',1,-0.956736,0.005009,-0.857251,1.143413,-1.984825,1.988163,0.160234,-0.454582,-1.531909,1
83,'2025/11/30 17:25:40:748',1,-1.02278,-0.16624,-0.387245,0.734824,1.98921,2.152493,0.141312,-0.422119,-1.43847,1
84,'2025/11/30 17:25:40:764',1,-1.02278,-0.16624,-0.387245,0.734824,1.98921,2.152493,0.141312,-0.422119,-1.43847,1
85,'2025/11/30 17:25:40:781',1,-1.004001,-0.379095,-0.106873,1.642599,-1.004509,-0.513646,0.168872,-0.414192,-1.400418,1
86,'2025/11/30 17:25:40:796',1,-1.004001,-0.379095,-0.106873,1.642599,-1.004509,-0.513646,0.168872,-0.414192,-1.400418,1
87,'2025/11/30 17:25:40:815',1,-0.102672,-0.036567,0.228474,0.485339,-0.884688,-0.912239,0.219197,-0.460643,-1.414557,1
88,'2025/11/30 17:25:40:831',1,-0.102672,-0.036567,0.228474,0.485339,-0.884688,-0.912239,0.219197,-0.460643,-1.414557,1
89,'2025/11/30 17:25:40:846',1,0.108027,0.043115,0.130804,-0.103538,0.300289,-0.351699,0.229731,-0.457753,-1.432461,1
90,'2025/11/30 17:25:40:864',1,0.108027,0.043115,0.130804,-0.103538,0.300289,-0.351699,0.229731,-0.457753,-1.432461,1
91,'2025/11/30 17:25:40:881',1,0.093371,0.046512,0.088908,0.239311,-0.749318,-0.489138,0.236407,-0.460908,-1.442686,1
92,'2025/11/30 17:25:40:896',1,0.093371,0.046512,0.088908,0.239311,-0.749318,-0.489138,0.236407,-0.460908,-1.442686,1
93,'2025/11/30 17:25:40:912',1,0.159536,0.101223,0.089019,0.189654,-1.046909,-0.37088,0.252692,-0.492215,-1.454128,1
94,'2025/11/30 17:25:40:929',1,0.159536,0.101223,0.089019,0.189654,-1.046909,-0.37088,0.252692,-0.492215,-1.454128,1
95,'2025/11/30 17:25:40:947',1,0.113125,0.093605,0.025255,-0.100164,-0.55664,0.068293,0.255463,-0.519001,-1.457924,1
96,'2025/11/30 17:25:40:962',1,0.113125,0.093605,0.025255,-0.100164,-0.55664,0.068293,0.255463,-0.519001,-1.457924,1
97,'2025/11/30 17:25:40:980',1,-0.057746,0.028809,-0.027382,-0.002159,-0.845538,-0.071939,0.252791,-0.537999,-1.458069,1
98,'2025/11/30 17:25:40:998',1,-0.057746,0.028809,-0.027382,-0.002159,-0.845538,-0.071939,0.252791,-0.537999,-1.458069,1
99,'2025/11/30 17:25:41:013',1,-0.103589,-0.014085,-0.053508,0.207646,-1.073402,-0.334744,0.260819,-0.571913,-1.462924,1
100,'2025/11/30 17:25:41:029',1,-0.103589,-0.014085,-0.053508,0.207646,-1.073402,-0.334744,0.260819,-0.571913,-1.462924,1
101,'2025/11/30 17:25:41:048',1,-0.016192,-0.0015,-0.038307,0.375294,-1.633731,-0.355023,0.275248,-0.614797,-1.467366,1
102,'2025/11/30 17:25:41:063',1,-0.016192,-0.0015,-0.038307,0.375294,-1.633731,-0.355023,0.275248,-0.614797,-1.467366,1
103,'2025/11/30 17:25:41:079',1,-0.003609,0.023466,-0.108353,0.987095,-3.743801,-0.676078,0.303238,-0.705265,-1.467205,1
104,'2025/11/30 17:25:41:097',1,-0.003609,0.023466,-0.108353,0.987095,-3.743801,-0.676078,0.303238,-0.705265,-1.467205,1
105,'2025/11/30 17:25:41:113',1,0.049797,0.1118,-0.330379,2.064641,-6.177569,-1.026676,0.351832,-0.854682,-1.454437,1
106,'2025/11/30 17:25:41:130',1,0.049797,0.1118,-0.330379,2.064641,-6.177569,-1.026676,0.351832,-0.854682,-1.454437,1
107,'2025/11/30 17:25:41:148',1,0.129843,0.222539,-0.647122,4.625256,-10.636081,-1.514971,0.448093,-1.17759,-1.372566,1
