@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute drumOut-1 numeric

@data
408,'2025/12/01 11:22:11:666',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
409,'2025/12/01 11:22:11:684',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
410,'2025/12/01 11:22:11:701',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
411,'2025/12/01 11:22:11:717',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
412,'2025/12/01 11:22:11:734',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
413,'2025/12/01 11:22:11:751',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
414,'2025/12/01 11:22:11:767',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
415,'2025/12/01 11:22:11:785',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
416,'2025/12/01 11:22:11:802',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
417,'2025/12/01 11:22:11:816',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
418,'2025/12/01 11:22:11:834',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
419,'2025/12/01 11:22:11:849',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
420,'2025/12/01 11:22:11:868',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
421,'2025/12/01 11:22:11:884',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
422,'2025/12/01 11:22:11:902',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
423,'2025/12/01 11:22:11:917',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
424,'2025/12/01 11:22:11:934',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
425,'2025/12/01 11:22:11:949',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
426,'2025/12/01 11:22:11:968',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
427,'2025/12/01 11:22:11:985',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
428,'2025/12/01 11:22:12:001',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
429,'2025/12/01 11:22:12:016',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
430,'2025/12/01 11:22:12:036',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
431,'2025/12/01 11:22:12:051',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
432,'2025/12/01 11:22:12:067',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
433,'2025/12/01 11:22:12:086',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
434,'2025/12/01 11:22:12:101',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
435,'2025/12/01 11:22:12:117',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
436,'2025/12/01 11:22:12:132',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
